Condition,Reason_EN,Reason_SW
P_Deficit_with_CAN,Lacks Phosphorus needed for strong root development.,Haina Fosforasi inayohitajika kwa ukuzaji wa mizizi.
N_Deficit_with_DAP,Lacks sufficient Nitrogen for vegetative growth later.,Haina Nitrojeni ya kutosha kwa ukuaji wa baadaye.
Low_Density,Nutrient density is too low for commercial yields.,Uzito wa virutubisho ni mdogo sana kwa mavuno ya kibiashara.
NPK_Generic,Generic blend. Ratio may not match your exact soil deficit.,Mchanganyiko wa jumla. Uwiano unaweza usilingane na upungufu wako wa udongo.
Optimal,Soil is optimal; current fertilizer is unnecessary.,Udongo uko sawa; mbolea ya sasa haihitajiki.
Default,Generally meets requirements.,Kwa ujumla inakidhi mahitaji.
Impact_Optimized,Optimized Recovery,Uboreshaji Uliopangwa
Impact_Variable,Variable Yield,Mavuno Yasiyo na Uhakika
Rec_Optimal,None required (Optimal Soil),Mbolea haihitajiki (Udongo uko Sawa)
Acidic_with_DAP,DAP is acidifying. Switch to Mavuno/SSP to protect soil pH.,DAP inaongeza asidi. Tumia Mavuno/SSP kulinda udongo.
Acidic_with_NPK,Soil is acidic. Mavuno/SSP is safer for long-term health.,Udongo una asidi. Mavuno/SSP ni salama zaidi kwa afya.
K_Deficit_with_DAP,Lacks Potassium (K) detected in your soil.,Haina Potasiamu (K) iliyopatikana kwenye udongo wako.
K_Deficit_with_CAN,Lacks Potassium (K) and Phosphorus (P).,Haina Potasiamu (K) na Fosforasi (P).
